buyBoxPrice,monthlyRevenueEstimate,monthlyUnitsSold,amazonIsr
10.0,0.0,0,false
0.0,0.0,763746,true
0.0,0.0,336679,false
0.0,226.0,1,true
0.0,0.0,1,true
1.0,0.0,49639,true
380000.4375,21.0,2945,true
1.0,0.0,210435,true
0.0,0.0,1421642,true
40389.12890625,0.0,0,false
4.5,3.0,40000,false
0.0,0.0,1249412,false
0.0,0.0,15712,true
40.0,0.0,0,true
0.0,0.0,219383,false
0.0,0.0,920392,false
2534.0,0.0,0,false
0.0,300.0,1,true
9.0,0.0,0,true
39.0,0.0,0,true
0.0,0.0,1088520,false
1.0,0.0,39511,false
4.300000190734863,1.0,38945,false
0.0,0.0,317291,true
1.0,0.0,501503,false
