reviewCount,reviewRating,totalRatings,numberOfSellers
23,0.0,2.0,434
1,0.0,7.599999904632568,0
18400,13219.6796875,0.0,21
18400,12011.7001953125,0.0,21
18400,12251.7001953125,0.0,21
18398,222570.375,779360075776.0,21
0,299.0,1.0,0
0,220.0,1.0,0
303045,51.0,0.0,0
18297,365327.09375,190873010176.0,21
0,18270.779296875,0.0,0
0,18264.779296875,0.0,0
0,23.0,1.0,0
320862,57.0,0.0,0
4,0.0,6.5,0
293265,28.0,0.0,0
0,10.0,1.0,0
0,51.0,1.0,0
0,1.0,0.0,0
2,0.0,8.399999618530273,0
0,39.0,1.0,0
0,97.0,1.0,0
0,18056.560546875,0.0,0
19,0.0,61212.0,1696
0,0.0,0.0,0
1,0.0,7.400000095367432,0
20,0.0,0.0,3253
0,21.0,1.0,0
0,17999.400390625,0.0,0
0,1.0,0.0,0
0,5.0,1.0,0
0,5.0,1.0,0
9,0.0,0.0,4388
0,0.0,5.800000190734863,0
0,299.0,1.0,0
0,35.0,1.0,0
0,1.0,0.0,0
6,0.0,0.0,3740
6,0.0,0.0,7633
0,34.0,1.0,0
17935,441933.25,726972170240.0,21
0,7.0,1.0,0
0,22.0,1.0,0
498695,14.0,0.0,0
1,0.0,9.0,0
0,17814.98046875,0.0,0
2771720,163.0,0.0,0
158934,48.0,0.0,0
17758,146977.9375,744351399936.0,21
17725,0.0,850052972544.0,21
147,0.0,0.0,275
0,139.0,1.0,0
110,0.0,0.0,65
14,0.0,0.0,4714
8798,4.0,0.0,0
234173,22.0,0.0,0
0,1.0,0.0,0
0,124.0,1.0,0
17486,110636.4765625,12505646080.0,21
392777,23.0,0.0,0
35,0.0,0.0,3197
0,1.0,0.0,0
0,17399.7109375,0.0,0
1,0.0,9.399999618530273,0
0,1.0,0.0,0
0,17399.400390625,0.0,0
0,17399.400390625,0.0,0
0,9.0,1.0,0
41,0.0,0.0,1544
17339,4891.22021484375,711620034560.0,21
17336,1933624.0,58465820672.0,21
88120,27.0,0.0,0
1,0.0,8.699999809265137,0
425,0.0,1296.6800537109375,0
1,0.0,8.899999618530273,0
17280,93348.8125,0.0,21
0,1679.0,1.0,0
0,17199.5703125,0.0,0
0,149.0,1.0,0
12,0.0,51339.0,5558
17150,964141.8125,0.0,21
0,6.0,1.0,0
39,0.0,0.0,2027
9,0.0,0.0,5667
17031,355620.875,680306737152.0,21
162773,26.0,0.0,0
5170,17.0,0.0,0
0,4.0,0.0,0
95450,52.0,0.0,0
16826,594846.125,58465812480.0,21
0,16819.7109375,0.0,0
288183,8.0,0.0,0
0,6.0,1.0,0
0,157.0,3.0,0
16800,307803.34375,190873010176.0,21
0,59.0,1.0,0
0,5.0,1.0,0
17,2.4000000953674316,0.0,1
0,1.0,0.0,0
500688,12.0,0.0,0
0,387.0,1.0,0
0,16786.0,0.0,0
0,33.0,1.0,0
0,103.0,1.0,0
60,0.0,0.0,147
259110,20.0,0.0,0
0,2075.0,1.0,0
190,0.0,1136.3299560546875,0
191,0.0,1136.3299560546875,0
52,0.0,0.0,102
16541,13250.1396484375,789591621632.0,21
343022,15.0,0.0,0
15,0.0,61205.0,4491
0,16499.69921875,0.0,0
0,130.0,1.0,0
13,0.0,41173.0,5101
1217002,87.0,0.0,0
14,0.0,0.0,2055
16240,52228.16015625,0.0,21
0,16199.8203125,0.0,0
16200,179989.15625,0.0,21
37,0.0,0.0,1931
0,1.0,0.0,0
304,0.0,1208.949951171875,0
164663,34.0,0.0,0
1317630,87.0,0.0,0
14,0.0,0.0,4790
16008,170349.921875,0.0,21
16,0.0,0.0,4170
1,0.0,8.899999618530273,0
0,6.0,1.0,0
8,0.0,0.0,6965
16,0.0,0.0,4081
12,0.0,0.0,5649
15959,322382.34375,779283005440.0,21
0,15922.5,0.0,0
2,0.0,8.0,0
0,15839.0400390625,0.0,0
18,0.0,0.0,2072
130741,19.0,0.0,0
160914,36.0,0.0,0
15764,165819.53125,0.0,21
0,9.0,1.0,0
15,0.0,0.0,4518
0,15749.5498046875,0.0,0
0,15747.6904296875,0.0,0
47,0.0,0.0,985
15684,5298.10986328125,0.0,21
0,37.0,1.0,0
433,0.0,1174.4300537109375,0
1,0.0,8.899999618530273,0
23,0.0,0.0,2717
1,0.0,7.800000190734863,0
12,0.0,0.0,4253
0,16.0,1.0,0
15600,5393.4599609375,0.0,21
0,24.0,1.0,0
0,2075.0,1.0,0
15599,36821.94140625,791258202112.0,21
0,15599.2197265625,0.0,0
60,0.0,0.0,143
75365,60.0,0.0,0
514671,13.0,0.0,0
0,5.0,1.0,0
0,5.0,1.0,0
0,15509.5302734375,0.0,0
1318,0.0,1160.969970703125,0
45,0.0,0.0,805
0,36.0,1.0,0
15471,420200.4375,12505565184.0,21
0,699.0,1.0,0
22,0.0,62332.0,2542
15400,165409.546875,611890888704.0,21
15399,0.0,0.0,21
15399,0.0,0.0,21
0,15398.599609375,0.0,0
0,13.0,1.0,0
0,53.0,1.0,0
0,1810.0,1.0,0
9,0.0,0.0,5195
0,12.0,1.0,0
0,178.0,1.0,0
13,0.0,70715.0,5357
0,5.0,1.0,0
271772,34.0,0.0,0
15,0.0,4661202.0,4364
3222,0.0,0.0,0
0,15155.2802734375,0.0,0
0,5.0,1.0,0
280325,41.0,0.0,0
0,1.0,0.0,0
0,31.0,1.0,0
376,0.0,2263.800048828125,0
0,16.0,1.0,0
0,744.0,1.0,0
0,1.0,0.0,0
0,1.0,0.0,0
15036,91130.2734375,58465804288.0,21
12,0.0,0.0,806
0,43.0,1.0,0
0,117.0,1.0,0
205132,5.0,0.0,0
0,14916.0,0.0,0
503925,14.0,0.0,0
0,7.0,1.0,0
66761,24.0,0.0,0
0,14879.0703125,0.0,0
0,21.0,182.4600067138672,0
0,6891.0,1.0,0
14794,303827.0625,67638013952.0,21
13,0.0,4661209.0,5130
724,0.0,1106.22998046875,0
670,0.0,1106.22998046875,0
14725,0.0,850052972544.0,21
0,9.0,1.0,0
0,1665.0,1.0,0
1,0.0,9.199999809265137,0
14686,405399.46875,791116185600.0,21
246163,154.0,403602.0,0
14620,338987.65625,0.0,21
14,0.0,60615.0,4970
1,0.0,9.5,0
111326,11.0,0.0,0
13,0.0,0.0,5302
0,14518.6796875,0.0,0
43,0.0,0.0,2148
0,28.0,1.0,0
38,0.0,0.0,1687
16,0.0,0.0,4190
2,0.0,9.0,0
0,13.0,1.0,0
0,1.0,0.0,0
0,25.0,1.0,0
5,0.0,75039.0,4001
0,387.0,1.0,0
0,13.0,1.0,0
0,6.0,1.0,0
0,1.0,0.0,0
16,0.0,0.0,4268
0,14382.759765625,0.0,0
26,0.0,0.0,2733
0,707.0,1.0,0
0,192.0,1.0,0
14300,69683.5703125,79841116160.0,21
0,21.0,441.489990234375,0
14290,363798.90625,825225904128.0,21
0,122.0,1.0,0
1,0.0,8.899999618530273,0
42950,84.0,0.0,0
0,1.0,0.0,0
0,1.0,0.0,0
0,194.0,1.0,0
0,59.0,1.0,0
0,152.0,1.0,0
0,14189.5703125,0.0,0
43,0.0,0.0,712
0,262.0,1.0,0
0,5.0,1.0,0
14160,208006.59375,819813023744.0,21
212707,39.0,0.0,0
15,0.0,0.0,4264
0,1.0,0.0,0
0,14099.5302734375,0.0,0
61033,32.0,0.0,0
0,27.0,1.0,0
0,17.0,1.0,0
403213,20.0,0.0,0
14040,175647.796875,0.0,21
21,0.0,33.0,0
0,14021.150390625,0.0,0
23,0.0,0.0,1406
0,14000.0,0.0,0
0,1.0,0.0,0
28,0.0,0.0,392
28,0.0,0.0,376
35,0.0,0.0,1871
0,5.0,1.0,0
13985,1116036.375,810061725696.0,21
264554,177.0,0.0,0
17,0.0,0.0,3534
7,0.0,0.0,9092
0,13.0,1.0,0
9,0.0,8.600000381469727,0
0,1.0,0.0,0
1,0.0,6.0,0
0,36.0,1.0,0
0,22.0,1.0,0
154,0.0,403002.0,0
0,13830.7001953125,0.0,0
0,20.0,1.0,0
0,13799.76953125,0.0,0
0,248.0,1.0,0
0,13798.7998046875,0.0,0
0,36.0,1.0,0
2794,0.0,2066.97998046875,0
341999,8.0,0.0,0
0,7.0,1.0,0
18751,32.0,1.0,0
0,78.0,1.0,0
13720,106451.796875,0.0,21
229438,49.0,0.0,0
3248,0.0,0.0,0
3195,0.0,1025.989990234375,0
0,32.0,1.0,0
42,0.0,0.0,288
1,0.0,8.399999618530273,0
13600,167161.3125,788404305920.0,21
6,0.0,7.400000095367432,0
0,56.0,1.0,0
3,0.0,5.300000190734863,0
2,0.0,9.100000381469727,0
41,0.0,0.0,1935
0,1.0,0.0,0
0,13514.099609375,0.0,0
13512,203454.84375,779360075776.0,21
0,37.0,1.0,0
2610,0.0,1012.47998046875,0
0,9.0,1.0,0
0,45.0,1.0,0
288,0.0,1012.4000244140625,0
12,0.0,31312.0,3109
0,27.0,1.0,0
