numberOfSellers,monthlyRevenueEstimate,monthlyUnitsSold,reviewRating
21,1087.0,1,12251.7001953125
21,192.0,2,222570.375
0,0.0,339748,299.0
0,0.0,116721,220.0
0,0.0,0,51.0
21,107.0,1,365327.09375
0,0.0,0,18270.779296875
0,0.0,0,18264.779296875
0,0.0,104577,23.0
0,0.0,0,57.0
0,21.0,5114,0.0
0,0.0,0,28.0
0,0.0,343815,10.0
0,0.0,550358,51.0
0,0.0,0,1.0
0,21.0,2185,0.0
0,0.0,297509,39.0
0,0.0,65985,97.0
0,0.0,0,18056.560546875
1696,1.0,18050,0.0
0,0.0,0,0.0
0,21.0,3846,0.0
3253,3.0,18000,0.0
0,0.0,22990,21.0
0,0.0,0,17999.400390625
0,0.0,0,1.0
0,0.0,8796,5.0
0,0.0,46722,5.0
4388,3.0,17991,0.0
0,21.0,5563,0.0
0,0.0,332845,299.0
0,0.0,287301,35.0
0,0.0,0,1.0
3740,1.0,17970,0.0
7633,2.0,17970,0.0
0,0.0,575295,34.0
21,538.0,1,441933.25
0,0.0,13416,7.0
0,0.0,281425,22.0
0,0.0,0,14.0
0,21.0,219,0.0
0,0.0,0,17814.98046875
0,0.0,0,163.0
0,0.0,0,48.0
21,177.0,1,146977.9375
21,36.0,1,0.0
275,1.0,17639,0.0
0,0.0,1162028,139.0
65,2.0,17597,0.0
4714,2.0,17563,0.0
0,0.0,0,4.0
0,0.0,0,22.0
0,0.0,0,1.0
0,0.0,539326,124.0
21,4985.0,1,110636.4765625
0,0.0,0,23.0
3197,1.0,17465,0.0
0,0.0,0,1.0
0,0.0,0,17399.7109375
0,21.0,101,0.0
0,0.0,0,1.0
0,0.0,0,17399.400390625
0,0.0,0,17399.400390625
0,0.0,23380,9.0
1544,1.0,17367,0.0
21,405.0,1,4891.22021484375
21,112.0,2,1933624.0
0,0.0,0,27.0
0,21.0,391,0.0
0,0.0,21,0.0
0,21.0,917,0.0
21,2410.0,1,93348.8125
0,0.0,249108,1679.0
0,0.0,0,17199.5703125
0,0.0,189241,149.0
5558,1.0,17160,0.0
21,776.0,1,964141.8125
0,0.0,10948,6.0
2027,2.0,17121,0.0
5667,1.0,17082,0.0
21,1423.0,1,355620.875
0,0.0,0,26.0
0,0.0,0,17.0
0,0.0,0,4.0
0,0.0,0,52.0
21,191.0,1,594846.125
0,0.0,0,16819.7109375
0,0.0,0,8.0
0,0.0,6048,6.0
0,0.0,291346,157.0
21,2785.0,0,307803.34375
0,0.0,318359,59.0
0,0.0,25224,5.0
1,16792.0,8,2.4000000953674316
0,0.0,0,1.0
0,0.0,0,12.0
0,0.0,295819,387.0
0,0.0,0,16786.0
0,0.0,335903,33.0
0,0.0,274008,103.0
147,1.0,16763,0.0
0,0.0,0,20.0
0,0.0,112789,2075.0
0,0.0,21,0.0
0,0.0,21,0.0
102,1.0,16639,0.0
21,236.0,1,13250.1396484375
0,0.0,0,15.0
4491,1.0,16500,0.0
0,0.0,0,16499.69921875
0,0.0,350367,130.0
5101,1.0,16329,0.0
0,0.0,0,87.0
2055,3.0,16240,0.0
21,377.0,1,52228.16015625
0,0.0,0,16199.8203125
21,404.0,1,179989.15625
1931,6.0,16132,0.0
0,0.0,0,1.0
0,0.0,21,0.0
0,0.0,0,34.0
0,0.0,0,87.0
4790,4.0,16086,0.0
21,253.0,1,170349.921875
4170,1.0,16000,0.0
0,21.0,296,0.0
0,0.0,26210,6.0
6965,1.0,15992,0.0
4081,1.0,15968,0.0
5649,0.0,15961,0.0
21,309.0,1,322382.34375
0,0.0,0,15922.5
0,21.0,842,0.0
0,0.0,0,15839.0400390625
2072,1.0,15803,0.0
0,0.0,0,19.0
0,0.0,0,36.0
21,379.0,1,165819.53125
0,0.0,59995,9.0
4518,0.0,15750,0.0
0,0.0,0,15749.5498046875
0,0.0,0,15747.6904296875
985,1.0,15745,0.0
21,684.0,1,5298.10986328125
0,0.0,79642,37.0
0,0.0,21,0.0
0,21.0,1085,0.0
2717,1.0,15617,0.0
0,21.0,2092,0.0
4253,1.0,15600,0.0
0,0.0,219995,16.0
21,2491.0,1,5393.4599609375
0,0.0,253487,24.0
0,0.0,355498,2075.0
21,208.0,1,36821.94140625
0,0.0,0,15599.2197265625
143,1.0,15599,0.0
0,0.0,0,60.0
0,0.0,0,13.0
0,0.0,5830,5.0
0,0.0,19168,5.0
0,0.0,0,15509.5302734375
0,0.0,21,0.0
805,2.0,15480,0.0
0,0.0,158900,36.0
21,5934.0,4,420200.4375
0,0.0,330235,699.0
2542,1.0,15400,0.0
21,1207.0,1,165409.546875
21,186.0,1,0.0
21,183.0,1,0.0
0,0.0,0,15398.599609375
0,0.0,425790,13.0
0,0.0,314653,53.0
0,0.0,1587277,1810.0
5195,1.0,15373,0.0
0,0.0,693909,12.0
0,0.0,139337,178.0
5357,1.0,15333,0.0
0,0.0,36138,5.0
0,0.0,0,34.0
4364,1.0,15221,0.0
0,0.0,21,0.0
0,0.0,0,15155.2802734375
0,0.0,1286,5.0
0,0.0,0,41.0
0,0.0,0,1.0
0,0.0,343732,31.0
0,0.0,21,0.0
0,0.0,402561,16.0
0,0.0,387338,744.0
0,0.0,0,1.0
0,0.0,0,1.0
21,1019.0,1,91130.2734375
806,1.0,15031,0.0
0,0.0,332330,43.0
0,0.0,107301,117.0
0,0.0,0,5.0
0,0.0,0,14916.0
0,0.0,0,14.0
0,0.0,0,7.0
0,0.0,0,24.0
0,0.0,0,14879.0703125
0,0.0,0,21.0
0,0.0,921939,6891.0
21,2385.0,2,303827.0625
5130,1.0,14773,0.0
0,0.0,21,0.0
0,0.0,21,0.0
21,44.0,1,0.0
0,0.0,26712,9.0
0,0.0,136384,1665.0
0,21.0,1432,0.0
21,4760.0,0,405399.46875
0,0.0,0,154.0
21,1053.0,1,338987.65625
4970,1.0,14617,0.0
0,21.0,190,0.0
0,0.0,0,11.0
5302,4.0,14560,0.0
0,0.0,0,14518.6796875
2148,1.0,14459,0.0
0,0.0,468807,28.0
1687,1.0,14436,0.0
4190,1.0,14400,0.0
0,21.0,340,0.0
0,0.0,325566,13.0
0,0.0,0,1.0
0,0.0,431222,25.0
4001,1.0,14391,0.0
0,0.0,206156,387.0
0,0.0,437428,13.0
0,0.0,39114,6.0
0,0.0,0,1.0
4268,3.0,14383,0.0
0,0.0,0,14382.759765625
2733,16.0,14366,0.0
0,0.0,252710,707.0
0,0.0,151730,192.0
21,938.0,0,69683.5703125
0,0.0,0,21.0
21,6547.0,1,363798.90625
0,0.0,340198,122.0
0,21.0,516,0.0
0,0.0,0,84.0
0,0.0,0,1.0
0,0.0,0,1.0
0,0.0,477675,194.0
0,0.0,200042,59.0
0,0.0,210053,152.0
0,0.0,0,14189.5703125
712,1.0,14190,0.0
0,0.0,202784,262.0
0,0.0,8994,5.0
21,1604.0,1,208006.59375
0,0.0,0,39.0
4264,1.0,14100,0.0
0,0.0,0,1.0
0,0.0,0,14099.5302734375
0,0.0,0,32.0
0,0.0,202026,27.0
0,0.0,37158,17.0
0,0.0,0,20.0
21,3369.0,1,175647.796875
0,0.0,0,0.0
0,0.0,0,14021.150390625
1406,1.0,14010,0.0
0,0.0,0,14000.0
0,0.0,0,1.0
392,1.0,14000,0.0
376,1.0,14000,0.0
1871,1.0,14000,0.0
0,0.0,21803,5.0
21,0.0,1,1116036.375
0,0.0,0,177.0
3534,14.0,13974,0.0
9092,1.0,13965,0.0
0,0.0,186374,13.0
0,21.0,2470,0.0
0,0.0,0,1.0
0,21.0,2680,0.0
0,0.0,544558,36.0
0,0.0,351537,22.0
0,0.0,13832,0.0
0,0.0,0,13830.7001953125
0,0.0,174287,20.0
0,0.0,0,13799.76953125
0,0.0,204434,248.0
0,0.0,0,13798.7998046875
0,0.0,410445,36.0
0,0.0,21,0.0
0,0.0,0,8.0
0,0.0,29082,7.0
0,0.0,0,32.0
0,0.0,448789,78.0
21,747.0,1,106451.796875
0,0.0,0,49.0
0,0.0,21,0.0
0,0.0,21,0.0
0,0.0,392596,32.0
288,1.0,13650,0.0
0,21.0,392,0.0
21,445.0,1,167161.3125
0,21.0,3602,0.0
0,0.0,440518,56.0
0,21.0,3681,0.0
0,21.0,296,0.0
1935,20.0,13530,0.0
0,0.0,0,1.0
0,0.0,0,13514.099609375
21,181.0,1,203454.84375
0,0.0,369924,37.0
0,0.0,21,0.0
0,0.0,35851,9.0
0,0.0,273095,45.0
0,0.0,21,0.0
3109,1.0,13498,0.0
0,0.0,540944,27.0
0,0.0,411179,33.0
21,1793.0,1,185212.5625
0,0.0,218942,14.0
0,0.0,0,13470.0
0,0.0,375145,27.0
0,0.0,1966,13.0
0,0.0,0,195.0
0,21.0,2438,0.0
0,0.0,0,13439.51953125
0,0.0,0,64.0
0,0.0,0,28.0
0,0.0,368477,14.0
21,1809.0,1,2809.169921875
0,21.0,1470,0.0
0,0.0,0,13318.5595703125
0,0.0,308089,30.0
0,0.0,0,33.0
0,0.0,19674,6.0
0,0.0,0,1.0
0,0.0,0,78.0
0,0.0,122381,131.0
0,0.0,133440,131.0
21,0.0,46,3828798.25
7509,0.0,13243,0.0
0,0.0,0,0.0
0,0.0,0,13223.240234375
0,21.0,3672,0.0
